Building Name,Address
Gator Band Shell,"605, Woodlawn Drive, Gainesville, FL, 32611"
Exactech Arena,"250, Gale Lemerand Drive, Gainesville, FL, 32611"
Florida Gym,"1864, Stadium Road, Gainesville, FL, 32611"
McCarty Hall A,"1692, McCarty Drive, Gainesville, FL, 32611"
Turlington Hall,"330, Newell Drive, Gainesville, FL, 32611"
North Hall,"2063, Stadium Road, Gainesville, FL, 32612"
Riker Hall,"2069, Stadium Road, Gainesville, FL, 32612"
McCarty Hall D,"1604, McCarty Drive, Gainesville, FL, 32611"
Tolbert Hall,"2087, Stadium Road, Gainesville, FL, 32612"
McCarty Hall C,"1688, McCarty Drive, Gainesville, FL, 32611"
McCarty Hall B,"1676, McCarty Drive, Gainesville, FL, 32611"
Parking Garage 5,"966, Gale Lemerand Drive, Gainesville, FL"
Weaver Hall,"562, Gale Lemerand Drive, Gainesville, FL, 32612"
UF Shands Garage 2,"1831, Mowry Road, Gainesville, FL"
UF Shands Garage 3,"1600, SW Archer Road, Gainesville, FL, 32608"
Graham Hall,"684, Gale Lemerand Drive, Gainesville, FL, 32612"
Simpson Hall,"2080, Museum Road, Gainesville, FL, 32612"
Trusler Hall,"2088, Museum Road, Gainesville, FL, 32612"
East Hall,"528, Gale Lemerand Drive, Gainesville, FL, 32612"
Gator Corner Dining Center,"2021, Gale Lemerand Drive, Gainesville, FL, 32611"
Benton Hall,"946, Center Drive, Gainesville, FL, 32611"
McGuire Pavilion,"1800, McCarty Drive, Gainesville, FL, 32611"
Larsen Hall,"968, Center Drive, Gainesville, FL, 32611"
MAE-A,"939, Sweetwater Drive, Gainesville, FL, 32611"
Nanoscale Research Facility,"1041, Center Drive, Gainesville, FL, 32611"
Newins-Ziegler Hall,"1745, McCarty Drive, Gainesville, FL, 32611"
Psychology Building,"945, Center Drive, Gainesville, FL, 32611"
UF Bookstore & Welcome Center,"1900, Museum Road, Gainesville, FL, 32611"
Engineering HR South,"1156, Center Drive, Gainesville, FL, 32611"
CLAS Greenhouse,"1817, Museum Road, Gainesville, FL, 32611"
Wastewater Filters,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Biological Nutrient Removal Basins,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Chlorine Contact Chamber,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Hydropneumatic Tank,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Water Reclamation Administration Building,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Botany Greenhouse,"1817, Museum Road, Gainesville, FL, 32611"
Water Reclamation Shop/Storage and Chemical Stg,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Zoology Greenhouse,"1817, Museum Road, Gainesville, FL, 32611"
Water Reclamation Sludge Building,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Water Reclamation Storage Tank,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Clarifier (West),"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Clarifier (East),"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
Rawlings Hall,"651, Newell Drive, Gainesville, FL, 32612"
Rinker Hall,"573, Newell Drive, Gainesville, FL, 32611"
Parking Garage 4,"759, Newell Drive, Gainesville, FL, 32611"
Mallory Hall,"1367, Inner Road, Gainesville, FL, 32612"
Reid Hall,"1316, Museum Road, Gainesville, FL, 32612"
Rolfs Hall,"341, Buckman Drive, Gainesville, FL, 32611"
Weimer Hall,"1885, Stadium Road, Gainesville, FL, 32611"
Williamson Hall,"1843, Stadium Road, Gainesville, FL, 32611"
Yulee Hall,"1358, Museum, Gainesville, FL, 32612"
Walker Hall Chilled Water Plant (CWP3),"1489, Union Road, Gainesville, FL, 32611"
Weil Cooling Towers,"503, Gale Lemerand Drive, Gainesville, FL, 32611"
Microkelvin Laboratory,"1819, Stadium Road, Gainesville, FL, 32611"
Aquatic Food Products Lab,"586, Newell Drive, Gainesville, FL, 32611"
McCarty Chilled Water Plant,"1702, McCarty Drive, Gainesville, FL, 32611"
IFAS Information Technologies,"1740, McCarty Drive, Gainesville, FL, 32611"
Materials Engineering,"601, Gale Lemerand Drive, Gainesville, FL, 32611"
McCarty Cooling Towers,"1702, McCarty Drive, Gainesville, FL, 32611"
MAE-B,"633, Gale Lemerand Drive, Gainesville, FL, 32611"
Van Fleet Hall,"2074, Stadium Road, Gainesville, FL, 32611"
Wildlife Ecology,"1746, McCarty Drive, Gainesville, FL, 32611"
Bartram Hall,"876, Newell Drive, Gainesville, FL, 32611"
Carr Hall,"882, Newell Drive, Gainesville, FL, 32611"
Frazier-Rogers Hall,"1741, Museum Road, Gainesville, FL, 32611"
Botany Greenhouse,"904, Newell Drive, Gainesville, FL, 32611"
Carleton Auditorium,"1475, Union Road, Gainesville, FL, 32611"
Century Tower,"1506, Union Road, Gainesville, FL, 32611"
Computer Sciences & Engineering Building,"432, Newell Drive, Gainesville, FL, 32611"
Fine Arts A,"1389, Inner Road, Gainesville, FL, 32611"
Grinter Hall,"1523, Union Road, Gainesville, FL, 32611"
Marston Science Library,"444, Newell Drive, Gainesville, FL, 32611"
Music Building,"435, Newell Drive, Gainesville, FL, 32611"
Broward Hall,"680, Broward Drive, Gainesville, FL, 32612"
Fine Arts C,"1370, Inner Road, Gainesville, FL, 32611"
Fine Arts D,"1357, Stadium Road, Gainesville, FL, 32611"
