name,date,time,location,link,description
[N] Florida Gators Track and Field vs SEC Indoor Championships,2025-03-01,,,https://calendar.ufl.edu/event/41744-florida-gators-track-and-field-vs-sec-indoor,
"[N] Florida Gators Women’s Swimming & Diving vs Florida Invite - 1650 Free, 200 Back, 100 Free, 200 Breast, 200 Fly, 400 Free Relay",2025-03-01,,,https://calendar.ufl.edu/event/40017-florida-gators-womens-swimming-diving-vs,
SERSAS Annual Meeting 2025: New Directions in African Studies,2025-03-01,8:00am,,https://calendar.ufl.edu/event/42269-sersas-annual-meeting-2025-new-directions-in,
"[N] Florida Gators Men’s Swimming & Diving vs Florida Invite - 1650 Free, 200 Back, 100 Free, 200 Breast, 200 Fly, 400 Free Relay",2025-03-01,9:30am,,https://calendar.ufl.edu/event/44643-florida-gators-mens-swimming-diving-vs-florida,
[L] Florida Gators Men’s Tennis vs University of Texas,2025-03-02,12:00pm,,https://calendar.ufl.edu/event/43045-florida-gators-mens-tennis-vs-university-of-texas,
[N] Florida Gators Men’s Golf at Southern Highlands Collegiate,2025-03-02,12:50pm,,https://calendar.ufl.edu/event/39605-florida-gators-mens-golf-vs-southern-highlan,
[L] Florida Gators Women’s Tennis at University of Georgia,2025-03-02,1:00pm,,https://calendar.ufl.edu/event/40125-florida-gators-womens-tennis-at-university-o,
[L] Florida Gators Baseball vs Miami - Presented by Meldon Law,2025-03-02,1:00pm,,https://calendar.ufl.edu/event/41190-florida-gators-baseball-vs-miami,
Bilingualism Workshop,2025-03-03,,,https://calendar.ufl.edu/event/43765-bilingualism-workshop,
"From Immigration To Integration: Insights Into Mental Health, Language Acquistion, and Educational Strategies For Migrant Children",2025-03-03,9:00am,,https://calendar.ufl.edu/event/44548-from-immigration-to-integration-insights-into-mental-h,
[N] Florida Gators Men’s Golf at Southern Highlands Collegiate,2025-03-03,12:20pm,,https://calendar.ufl.edu/event/39604-florida-gators-mens-golf-vs-southern-highlan,
Canvas New Quizzes,2025-03-03,1:00pm,,https://calendar.ufl.edu/event/43462-canvas-new-quizzes,
Tour – Sea Turtle Hospital-TOUR FULL,2025-03-04,10:00am,,https://calendar.ufl.edu/event/24525-tour-sea-turtle-hospital-tour-full,
Mardi Gras Mask Making,2025-03-04,12:00pm,,https://calendar.ufl.edu/event/44607-mardi-gras-mask-making,
Stefano Martiniani - Physical Chemistry Seminar,2025-03-04,12:00pm,,https://calendar.ufl.edu/event/42107-stefano-martiniani-physical-chemistry-seminar,
Stefano Martiniani - Physical Chemistry Seminar,2025-03-04,12:00pm,,https://calendar.ufl.edu/event/43882-stefano-martiniani-physical-chemistry-seminar,
Qualtrics @UF: Getting Started (in-person) (CITT),2025-03-05,9:00am,,https://calendar.ufl.edu/event/42312-qualtrics-uf-getting-started-in-person-citt,
Teams Mini-Series: Channel Management,2025-03-05,11:30am,,https://calendar.ufl.edu/event/42836-teams-mini-series-channel-management,
Minecraft as a Mirror: Reflecting on Human Values in Technology,2025-03-05,11:45am,,https://calendar.ufl.edu/event/44495-minecraft-as-a-mirror-reflecting-on-human-values-in-te,
Getting Started with AI in Teaching & Learning - AI for Presentations,2025-03-05,12:00pm,,https://calendar.ufl.edu/event/44105-getting-started-with-ai-in-teaching-learning-,
Sports Collective Symposium 2025,2025-03-06,9:00am,,https://calendar.ufl.edu/event/44079-sports-collective-symposium-2025-,
Tour – Sea Turtle Hospital,2025-03-06,10:00am,,https://calendar.ufl.edu/event/26577-tour-sea-turtle-hospital,
Using VScode Remote Tunnels on HiPerGator,2025-03-06,10:40am,,https://calendar.ufl.edu/event/43318-using-vscode-remote-tunnels-on-hipergator,
Tech Byte: Read Together with Perusall,2025-03-06,11:00am,,https://calendar.ufl.edu/event/44566-tech-byte-read-together-with-perusall,
[N] Florida Gators Women’s Golf vs Gators Invitational,2025-03-07,8:30am,,https://calendar.ufl.edu/event/39709-florida-gators-womens-golf-vs-gators-invitat,
UF Gulf Scholars Medallion Orientation,2025-03-07,12:00pm,,https://calendar.ufl.edu/event/43618-uf-gulf-scholars-medallion-orientation,
RSP: The End of Liberal Social Epistemology,2025-03-07,12:50pm,,https://calendar.ufl.edu/event/44795-rsp-the-end-of-liberal-social-epistemology-,
CANCELED: Lydia Kivrak PhD Defense,2025-03-07,1:30pm,,https://calendar.ufl.edu/event/lydia-kivrak-phd-defense,
