department,code,title,credits,description,prerequisites,grading_scheme
Marketing,MAR2290,Retail Management Seminar,1,Weekly lectures feature a different executive making a presentation in their area of expertise. Addresses major issues in retailing. Discussions of retailing career opportunities and career paths.,,
Marketing,MAR2401,Sales Seminar,1,Overview of selling and managing the sales function to achieve the growth targets of a business; highlights the importance of the sales function in a firm and how it contributes to the achievement of the firm’s strategic objectives.,,
Marketing,MAR2951,Special Topics,1-3,Projects related to business in marketing as approved by the college.,,
Marketing,MAR3023,Principles of Marketing,4,"Functions, institutions and methods of marketing goods and services. Relates marketing to the larger economic structure and emphasizes the importance of the consumer.",,
Marketing,MAR3231,Introduction to Retailing Systems and Management,4,"Functions, institutions and activities of retailing goods and services.",,
Marketing,MAR3400,Professional Selling,4,Basic survey in professional selling. Teaches the importance of the selling role and provides basic professional selling skills; begins the preparation for a future role in sales or sales management.,,
Marketing,MAR3503,Consumer Behavior,4,Emphasizes both descriptive and conceptual analysis of consumer behavior with a focus on theory and research essential to an understanding of individual choice behavior. Makes intensive use of contributions from the social and behavioral science literatures.,,
Marketing,MAR4156,International Marketing,4,"Analyzes economic, social and cultural issues affecting marketing management in the international environment.",,
Marketing,MAR4232,Retail Consulting,4,"Provides opportunities for working on real retail/marketing problems with clients; gain practical insights into actual retail business operations while performing problem identification, exploration for opportunities, data collection and strategy development. Teams of 4-5 students work with real clients on retail issues and design and execute all phases of the project.",,
Marketing,MAR4403,Sales Management,4,"Principles, methods, and problems relating to the management of a sales force. Selection and training, organization, compensation and stimulation, and control.",,
Marketing,MAR4613,Marketing Research,4,"Analyzes the role of marketing research in providing information for marketing decisions. Research methods and techniques involved in the development and use of primary and secondary data are emphasized. Topics include survey design, experimental design, data collection (e.g., questionnaires), data analysis, measurement and sampling.",,
Marketing,MAR4803,Marketing Management,4,"Development and analysis of overall marketing strategies involving product and brand development, channels of distribution, pricing, and promotion with consideration of marketplace conditions and related factors affecting implementation and execution.",,
Marketing,MAR4804,Marketing Strategy,4,"Emphasizes analysis, planning, and implementation of marketing strategies. Examines insights into the creative processes involved in applying marketing concepts and knowledge to the development and implementation of strategy. Features a comprehensive marketing simulation exercise and well as detailed analysis of several companies and their marketing strategies.",,
Marketing,MAR4832,New Product Development and Management,4,A structured way of thinking about product development. Students are provided with an up-to-date toolbox for developing and managing new products. Includes hands-on individual assignments and a group project to simulate the development process of a new product or service.,,
Marketing,MAR4905,Independent Study,1-4,Opportunity for in-depth study not offered in other courses.,,
Marketing,MAR4933,Special Topics,4,"Selected rotating topics in marketing management, research and theory.",,
Marketing,MAR4941,Sales Internship,1,"Teaches the importance of the sales function in a firm and how the sales function contributes to the achievement of the firm’s strategic objectives. Using participative on-the-job learning methods, gain an overview of the sales function in a firm and gain a sense of the reality of business situations, which aids success in virtually any sales-oriented career assignment.",,
Marketing,MAR4945,Retail Management Internship,1-3,"A 10-12 week entry-level retail management internship that requires several papers and reports. Opportunities are available in stores, corporate headquarters and buying offices. Management training experiences in buying, store management, merchandising and customer service.",,
Marketing,MAR4956,International Studies in Marketing,1-4,Provides a mechanism by which coursework taken as part of an approved study abroad program can be recorded on the UF transcript and counted toward graduation.,,
Marketing,MAR4970,Honors Thesis,1,"A thesis is required for magna cum laude or summa cum laude designation. To qualify, students normally have completed 90 semester credits of coursework (exceptions may be made) and have at least a 3.6 GPA at the time they enroll. The thesis will be reviewed by at least one faculty member chosen by the honors coordinator from the student's department.",,
Fine Arts,ARH1040,Gaming War & Peace in the United States and South Africa,3,"Uses role-playing games to investigate conflict and its resolution by simulating the revolutionary chaos in New York (1775–76) and constitutional negotiations for post-apartheid South Africa (1993). Examines the role of the arts in remembering conflict, focusing on monuments.",,
Fine Arts,ART2620C,Net Art,3,"Explores practical and theoretical issues related to the Internet as a medium for making art rather than as a tool for delivering information. Emphasizes the creation of dynamic and interactive experiences on the web that integrate video, graphics, animation, sound, image, and typography.",,
Fine Arts,ART4639C,Advanced Experiments in Art and Technology,3,Special topics course that explores new forms of digital media production. Topics reflect emerging forms of digital media.,,
Fine Arts,DIG3110C,Imaging Processes,3,,,
Fine Arts,GRA4166,Graphic Design History II,3,"Investigates the diverse cultural functions and critical definitions of graphic design across places and times in the twentieth and twenty-first centuries. Introduces broad stylistic movements common to western Europe and North America; interrogates and re-writes a received definition of graphic design which excludes globally diverse artifacts, designers, practices, and users.",,
Fine Arts,HUM1300,Compassion and the Arts,3,"Students will explore the historical, theoretical, and cultural roots of compassion – or how people respond through empathetic action. Works of art, music, performing arts, literature, philosophy, religion, and history will help students critically reflect on the role of compassion within the human experience including quality of life and citizenship.",,
Fine Arts,HUM2592,Introduction to the Arts in Medicine in a Global Context,3,"Explores the field of arts in medicine in a global context, focusing on the many ways that the arts can be used to enhance health and wellbeing in healthcare or community settings and the relationship of culture to healing practices, systems, and health literacy in various regions of the world.",,
Fine Arts,HUM2930,Special Topics in Fine Arts,1-3,Variable topics course exploring the interaction between various arts and between the arts and other disciplines.,,
Fine Arts,HUM3351,Visual Arts in Medicine,3,Explore the intersections of the visual arts and health and investigate how the visual arts can support health and well-being. Acquire fundamental research and communication skills for scholarly discussion of arts in health as well as practical application.,,
Fine Arts,HUM3523,Music and Health,3,"Review music therapy and music in health research to assess, orally and in scholarly writing, how music can be utilized to enhance well-being, the intersections between music and psychology/cognition/human behavior, as well as health maintenance issues and medical challenges of performing artists.",,
Fine Arts,HUM3598L,Applied Theater for Health II: Collective Creation Lab,3,"Apply knowledge acquired in Applied Theater for Health I to create an original project or workshop on a chosen health topic. Collaborate to research, develop, and conduct theater for health workshops in partnership with a community or campus organization.",,
Fine Arts,HUM3940L,Arts in Medicine Practicum 1,2,Provides basic to intermediate-level mentored practice in the arts in healthcare in a clinical or community environment. Emphasizes a primary discipline while deepening the understanding of the practice through documentation  self-assessment  and a culminating paper.,,
Fine Arts,HUM4594,Music in Medicine Capstone,3,"Culminating course in the Music in Medicine certificate. Conduct a thorough literature review and develop a capstone proposal and project related to the intersections of music and health in healthcare or community settings to assess, orally and in scholarly writing, and how music can be utilized to enhance wellbeing.",,
Fine Arts,HUM4912,Fine Arts Undergraduate Research,0-3,"Provides an opportunity for firsthand, supervised research. Projects may involve inquiry, design, investigation, scholarship, discovery, or creative application, depending on the topic. Projects are supervised by an advising faculty member or a grad student working under faculty supervision.",,
Fine Arts,HUM4930,Special Topics in Fine Arts,1-3,An upper division general fine arts special/rotating topics on various subjects in the arts.,,
Fine Arts,HUM4956,Overseas Studies in Fine and Performing Arts,1-18,Provides a mechanism by which coursework taken as part of an approved study-abroad program can be recorded on the transcript and counted toward UF graduation.,,
Fine Arts,IDC3500C,Programming for Artists,3,"Introduces understanding interactivity as an art form, providing an in-depth exploration of the tools, theories and applications of interactive media as they are used for creative inquiry, research and production.",,
Accounting,ACG2021,Introduction to Financial Accounting,4,Conceptual introduction to financial accounting. Emphasis is placed on wealth and income measurement and the preparation and interpretation of conventional financial statements.,,
Accounting,ACG2071,Introduction to Managerial Accounting,4,"Accounting for cost reporting and control. Reports, statements and analytical tools used by management.",,
Accounting,ACG2391,Exploring Careers in Accounting,1,"Introductory overview of accounting as a field of study and the career opportunities available within accounting, in sectors such as public accounting, professional and financial services, industry, government, entrepreneurship, and other.",,
Accounting,ACG3101,Financial Accounting and Reporting 1,4,"Covers the theoretical structure of financial accounting, required financial statements, revenue recognition, operating assets and current liabilities.",,
Accounting,ACG3401,Business Processes and Accounting Information System,4,"Examination of the accounting information systems in a business organization. Coverage extends over topics such as business processes, internal controls, and the fundamentals of accounting information systems analysis, design, implementation and control.",,
Accounting,ACG3802,Professional Speakers Series,1,"To expose students to technical topics and emerging issues in accounting, business and related professions such as law. The course addresses career opportunities in the practice of public accounting, industry, financial services, government, and in business more generally.",,
Accounting,ACG4111,Financial Accounting and Reporting 2,4,"Continuation of ACG 3101 and includes coverage of accounting for investments, non-current liabilities and equities, accounting for income taxes, derivatives, accounting changes, statement of cash flows and earnings per share.",,
Accounting,ACG4341,Cost and Managerial Accounting,4,"Extends cost and managerial coverage beyond that covered in ACG 2071. Topics include quantitative cost estimation, standard costing, flexible budgets, inventory management, pricing decisions, balanced scorecard, costs of quality, capital budgeting, transfer pricing and performance evaluations.",,
Accounting,ACG4632,Introduction to Auditing,3,"Introduces the basic concepts, principles and environment of financial statement auditing. The course emphasizes the audit decision-making process, researching audit standards, audit planning, evidence evaluation, audit reports, ethics and legal liability.",,
Accounting,ACG4931,Special Topics,1-3,Opportunity for in-depth study of topics not offered in other courses and of topics of special current significance.,,
Accounting,ACG4941,Supervised Accounting Internship,2-4,Applied work in professional accounting. Requires several papers and reports.,,
Accounting,ACG4970,Honors Thesis,1,The thesis must be submitted to the Fisher School no later than the published deadline and includes an abstract.,,
Accounting,TAX4001,Introduction to Federal Income Tax,3,Introduces federal income taxation to those who pursue careers in accounting; develops a basic understanding of the federal income tax laws relating to businesses and provides a framework for integrating income tax planning into the business decision-making process.,,
Accounting,TAX4930,Special Topics in Taxation,1-4,Course provides an opportunity for in-depth study of topics not offered in other courses and of topics of special current significance.,,
Animal Sciences,ALS4932,Special Topics,1-3,Variable subjects provide content for the study of agricultural topics not offered in other courses.,,
Animal Sciences,ANS2002,The Meat we Eat,3,"Consumer-oriented elective covering meat as a food, its inspection for wholesomeness, meat grading, identification, processing, selection, preparation, and serving. Emphasizes preparation of economical, nutritious, and palatable meals centered on meat.",,
Animal Sciences,ANS2005,The Role of Animals in Human History,3,"Surveys the importance of animals through human history from the Stone Age to the present. The domestication of dogs, cats, major farm animals, as well as some less familiar, such as camels, reindeer, and buffalo, and the role they played in different societies and cultures across human history.",,
Animal Sciences,ANS2090,Survey of Veterinary Professions,2,"Introduces careers in the veterinary medicine profession with discussions related to career exploration, career preparation, and the procedure of job placement.",,
Animal Sciences,ANS2615C,Introduction to livestock and meat evaluation,3,"Basic elements of live animal evaluation, selection and carcass evaluation.",,
Animal Sciences,ANS2934,Careers in Animal Sciences,2,Interactive exposure to employment opportunities in the animal sciences.,,
Animal Sciences,ANS3006,Introduction to Animal Science,3,"Role of beef cattle, dairy cattle, swine, sheep, poultry, and horses in serving humans. Introduces anatomy and physiology of digestion, growth, reproduction, and the application of genetics to livestock improvement.",,
Animal Sciences,ANS3006L,Introduction to Animal Science Laboratory,1,Laboratory experiences designed to accompany ANS 3006; must be registered for ANS 3006 concurrently or have already completed the lecture course.,,
Animal Sciences,ANS3008,Domestic Animal Behavior and Welfare,3,"Introduces basic principles and applications of animal behavior, including approaches to improve animal welfare through an understanding of animal behavior. Examples are drawn from a wide range of species, but the focus is on applying concepts to understand the behavior and welfare of domestic animals under human care, including livestock, companion, and laboratory species.",,
Animal Sciences,ANS3043,Growth and Development of Farm Animals,3,"An integration of the physiological, genetic, and nutritional bases of animal growth, development, and body composition with application to livestock production.",,
