department,description
Marketing,"The Marketing Department is a recognized leader in the discipline of marketing. For over a decade, the department’s faculty has ranked as one of the most productive and influential in the field, and is known for conducting provocative, cutting-edge research that contributes both to the scientific understanding and practice of marketing."
Fine Arts,"The School of Art + Art History nurtures a culture of critical inquiry in scholarly and creative work. The school empowers each individual with knowledge, skills, and insight to engage thoughtfully with the changing world."
Accounting,"Accounting at UF traces its roots back to 1923 when the first accounting course was offered. Today, as one of the nation’s few free-standing accounting schools, the Fisher School of Accounting has cultivated a distinctive identity at the University of Florida and among the nation’s top business programs."
Animal Sciences,"The Department of Animal Sciences creates new solutions to tomorrow's problems in the areas of teaching, research, and extension, by integrating the most modern technologies available with personal expertise and attention to the needs of both students and industry."
"Arabic | Languages, Literatures, and Cultures","Home to 15 different language programs, the Department of Languages, Literatures, and Cultures (LLC) offers training in languages and cultures from all corners of the globe. From Swahili to Italian, Russian to Vietnamese, LLC gives students the opportunity to become cross-cultural experts in an increasingly internationalized world."
Architecture,"The School of Architecture recognizes design as a synthesis of thinking, analyzing and making — an iterative process that engages, issues of space, historical precedent, sustainability, ecology, urbanity, landscape, built-form, and construction toward innovation. The School of Architecture is uniquely positioned to respond to these issues by deploying studio based design methodologies in collaboration with a new generation of experts in engineering, ecology, business, anthropology, energy, fine arts, medicine, and construction."
English,"The Department of English fosters a dynamic nexus of critical thinking, writing, and making. English offers students innovative opportunities for individual and collaborative learning through BA, MFA, and PhD programs. Students work with a variety of materials, including: global Anglophone literature, African American literature, children’s literature, comics, critical theory, digital modes, film and media. In-house journals and media reflect the scholarly, creative, and interdisciplinary work done by the department. Active across campus through its affiliations, English produces next-generation arts and humanities."
Food Science and Human Nutrition,"The Food Science and Human Nutrition Department (FSHN) is one of the world’s largest combined academic programs where food science, nutritional sciences, and dietetics are all studied within one department. The department’s programs are accredited by theInstitute of Food Technologists (IFT)and theAcademy of Nutrition and Dietetics. After completing undergraduate degrees, FSHN students typically move on to employment in the food industry, healthcare settings, graduate, or professional programs."
"French | Languages, Literatures, and Cultures","Home to 15 different language programs, the Department of Languages, Literatures, and Cultures (LLC) offers training in languages and cultures from all corners of the globe. From Swahili to Italian, Russian to Vietnamese, LLC gives students the opportunity to become cross-cultural experts in an increasingly internationalized world."
"Languages, Literatures, and Cultures","Home to 15 different language programs, the Department of Languages, Literatures, and Cultures (LLC) offers training in languages and cultures from all corners of the globe. From Swahili to Italian, Russian to Vietnamese, LLC gives students the opportunity to become cross-cultural experts in an increasingly internationalized world."
Courses,Courses in this catalog are identified by prefixes and numbers that were assigned by Florida’s Statewide Course Numbering System (SCNS). This numbering system is used by all public postsecondary institutions in Florida and 27 participating non-public institutions. The major purpose of this system is to facilitate the transfer of courses between participating institutions. Students and administrators can use the online SCNS to obtain course descriptions and specific information about course transfer between participating Florida institutions.
African American Studies,The African American Studies program is one of the fastest growing majors at UF. The degree program provides students with a variety of innovative courses by applying creative cultural methods of teaching while examining the African American experience.|Email| 352.392.5724 (tel) | 352.294.0007 (fax)
