department,name,url,type
Marketing,Marketing,/UGRD/colleges-schools/UGBUS/MKG_BSBA/,Major
Marketing,Professional Selling Minor,/UGRD/colleges-schools/UGBUS/SEL_UMN/,Minor
Marketing,Retailing Minor,/UGRD/colleges-schools/UGBUS/RET_UMN/,Minor
Fine Arts,Art Education Certificate,/UGRD/colleges-schools/UGART/ART_UCT06/,Certificate
Fine Arts,Art History,/UGRD/colleges-schools/UGART/ARH_BAHA/,Major
Fine Arts,Art History Minor,/UGRD/colleges-schools/UGART/ARH_UMN/,Minor
Fine Arts,Art Minor,/UGRD/colleges-schools/UGART/STR_UMN/,Minor
Fine Arts,Art | BA,/UGRD/colleges-schools/UGART/VAS_BA/,Major
Fine Arts,Art | BFA,/UGRD/colleges-schools/UGART/ART_BFA/,Major
Fine Arts,Ceramics Certificate,/UGRD/colleges-schools/UGART/ART_UCT02/,Certificate
Fine Arts,Graphic Design,/UGRD/colleges-schools/UGART/GRD_BFAG/,Major
Accounting,Accounting,/UGRD/colleges-schools/UGACT/ACT_BSAC/,Major
Accounting,Accounting Minor,/UGRD/colleges-schools/UGACT/ACT_UMN/,Minor
Accounting,Combination Degrees,/UGRD/academic-advising/combined-degrees/,Major
Animal Sciences,Animal Genetics Certificate,/UGRD/colleges-schools/UGAGL/AGL_UCT15/,Certificate
Animal Sciences,Animal Sciences,/UGRD/colleges-schools/UGAGL/ANS_BS/,Major
Animal Sciences,Combination Degrees,/UGRD/academic-advising/combined-degrees/,Major
"Arabic | Languages, Literatures, and Cultures",African Languages,/UGRD/colleges-schools/UGLAS/FAF_BA/,Major
"Arabic | Languages, Literatures, and Cultures",Arabic,/UGRD/colleges-schools/UGLAS/FAR_BA/,Major
"Arabic | Languages, Literatures, and Cultures",Arabic Language and Literature Minor,/UGRD/colleges-schools/UGLAS/ALL_UMN/,Minor
"Arabic | Languages, Literatures, and Cultures",Chinese,/UGRD/colleges-schools/UGLAS/FCH_BA/,Major
"Arabic | Languages, Literatures, and Cultures",Combination Degrees,/UGRD/academic-advising/combined-degrees/,Major
"Arabic | Languages, Literatures, and Cultures",Dual Languages,/UGRD/colleges-schools/UGLAS/FLL_BA/FDU_BA/,Major
