name,hall_type,description,location,phone,features_str,room_types_str,nearby_locations_str,url,image_url,rental_rate_url
Beaty Towers,Apartment Style,"Beaty Towers is a centrally located apartment style building. Located on the corner of Museum Road and 13th Street, Beaty Towers is close to the College of Music, Design Construction and Planning, and a short walk to the Warrington College of Business. Each apartment features double room suites with a semi-private bathroom, built in desks, and a kitchenette complete with a refrigerator, oven, and garbage disposal.","11 Beaty Towers, Gainesville, FL 32612-1101",352-392-6111,"Fully Furnished, Twin XL Beds, Passenger Elevators, High-Speed Internet, Laundry Facilities, The Market in Beaty Towers, Game Room","Apartments, Steinbrenner Band Hall, College of Design Construction and Planning, College of Architecture, Sorority Row","Apartments, Steinbrenner Band Hall, College of Design Construction and Planning, College of Architecture, Sorority Row",https://housing.ufl.edu/beaty-towers/,https://housing.ufl.edu/wp-content/uploads/2022/02/2012_BEATY_sky_blue_exterior_05_22_0134_POST-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Broward Hall,Traditional Style,"Broward Hall is a fully furnished traditional style hall located near various colleges and libraries. Students living in Broward Hall will be steps away from the Broward Dining Hall, Century Tower, and the Plaza of the Americas. Broward Hall offers a range of room styles including single, double, and triple options. Each floor has a shared restroom and community kitchen, that offers a microwave, oven, and stove. It is recommended for students to supply their own in-room refrigerator.","680 Broward Dr., Gainesville, FL 32612",352-392-6051,"Fully Furnished, Twin XL Beds, Passenger Elevator, High-Speed WiFi, Laundry Room, Study Lounge, Game Room","Single Room, Double Room, Triple Room, College of Education, College of the Arts, College of Design, Construction and Planning, Century Tower, The Eatery at Broward Hall, Turlington Plaza, Library West","Single Room, Double Room, Triple Room, College of Education, College of the Arts, College of Design, Construction and Planning, Century Tower, The Eatery at Broward Hall, Turlington Plaza, Library West",https://housing.ufl.edu/broward-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/2011_BrowardArea_TOPBuildingExterior-3_noLogo-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Buckman Hall,Traditional Style,"Buckman Hall is located in the University's historic district. Buckman Hall is unique in that no two rooms have the same layout, so you can guarantee you will have a unique picturesque room. This hall is located near on-campus and off-campus dining locations, the Student Recreation Center, the Hub, Newell Hall, and Library West. Each floor has a shared restroom and a community kitchen, that offers a stove, oven, and microwave. It is recommended for students to supply their own in-room refrigerator.","132 Buckman Dr., Gainesville, FL 32612",352-392-6091,"Fully Furnished, Twin XL Beds, High-Speed WiFi, Laundry Room, Study Lounge, Game Room","Single Room, Double Room, Triple Room, Newell Hall, Library West, College of Liberal Arts and Sciences, College of Journalism and Communications, College of Health and Human Performance, The Hub","Single Room, Double Room, Triple Room, Newell Hall, Library West, College of Liberal Arts and Sciences, College of Journalism and Communications, College of Health and Human Performance, The Hub",https://housing.ufl.edu/buckman-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/2011_MurphreeArea_ThomasBuildingExterior-1-2.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Corry Village,Apartment Style,"Corry Village is centrally located on the University of Florida Campus. The village features a new community center at the front of the complex, playgrounds for children, and residential parking. Apartments are outfitted with a full kitchen including a full-size range, oven, and refrigerator. Rent includes internet access, water, and a community center with access to movies, games, and equipment you can check out at no additional charge.","278 Corry Village, Gainesville, FL 32603",352-392-6081,"Laundry Room, Cable TV, Play Room for Children, Playground, Study Room, Basketball Court, Volleyball Court, Barbeque Areas","One Bedroom Apartment, Two Bedroom Apartment, College of Law, Baby Gator Child Development Center, Lake Alice, Field and Fork Farm and Gardens, UF Bat Houses","One Bedroom Apartment, Two Bedroom Apartment, College of Law, Baby Gator Child Development Center, Lake Alice, Field and Fork Farm and Gardens, UF Bat Houses",https://housing.ufl.edu/corry-village/,https://housing.ufl.edu/wp-content/uploads/2022/02/DSC1782-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/graduate-and-family-housing-rental-rates/
Cypress Hall,Suite Style,"One of the newest residence halls on campus, Cypress Hall and offers universally designed single, double and super suite style rooms. Cypress hosts a limited number of rooms with SureHands Lift system for students with physical impairments and approved housing accommodations. Located on the east side of campus, Cypress Hall is near the Broward Dining Hall, the College of Education, and the College of the Arts. Each floor has a community kitchen, that offers an oven and stove. It is recommended for students to supply their own in-room microwave and refrigerator.","1310 Museum Rd. Gainesville, FL 32612",352-392-6101,"Fully Furnished, Full XL Beds, Passenger Elevators, High-Speed WiFi, Laundry Room, Study Lounge","Single Suite, Double Suite, Super Suite, College of Education, College of the Arts, College of Design Construction and Planning, Beaty P.O.D. Market","Single Suite, Double Suite, Super Suite, College of Education, College of the Arts, College of Design Construction and Planning, Beaty P.O.D. Market",https://housing.ufl.edu/cypress-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/170503_Buildings_UFCypressHall_0008_MattPendleton-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Diamond Village,Apartment Style,"Diamond Village is located on the southeast side of campus and is near UF Shands, the College of Medicine, and the College of Dentistry. Diamond Village is ideal for individuals and families that are environmentally conscious; the community features solar panels, a community herb and butterfly garden, rain barrels, and a cistern garden. With an on site playroom, basketball court, and Baby Gator Child Development Center, Diamond Village is perfect for families with young children.","University of Florida, Gainesville, FL 32603",352-392-6081,"High Speed Internet, Laundry Facilities, The Market in Beaty Towers, Game Room","One Bedroom Apartment, Two Bedroom Apartment, College of Medicine, UF Health Shands, College of Dentistry, Baby Gator Child Development Center","One Bedroom Apartment, Two Bedroom Apartment, College of Medicine, UF Health Shands, College of Dentistry, Baby Gator Child Development Center",https://housing.ufl.edu/diamond-village/,https://housing.ufl.edu/wp-content/uploads/2022/02/2011_Diamond_BuildingExterior-24-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/graduate-and-family-housing-rental-rates/
East Hall,Traditional Style,"East Hall is located directly across the street from the Herbert Wertheim College of Engineering, making it the ideal location for the Engineering Living Learning Community. Students living in East hall will have easy access to athletic events, a swimming pool, Flavet Field, and the Reitz Union.  East Hall offers double and triple style rooms options. Each floor has a shared restroom and a community kitchen, that offers a microwave, oven, and stove. It is recommended for students to supply their own in-room refrigerator.","1310 Museum Rd., Gainesville, FL 32612",352-392-6101,"Fully Furnished, Twin XL Bed, Passenger Elevator, High-Speed WiFi, Laundry Room, Study Lounge","Double Room, Triple Room, Reitz Union, College of Engineering, Flavet Field, Graham Pool, Stephen C. O'Connell Center, Ben Hill Griffin Stadium, James G. Pressley Field","Double Room, Triple Room, Reitz Union, College of Engineering, Flavet Field, Graham Pool, Stephen C. O'Connell Center, Ben Hill Griffin Stadium, James G. Pressley Field",https://housing.ufl.edu/east-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/2012_TolbertArea_Exterior_IMG_7485_POST-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Fletcher Hall,Traditional Style,"Fletcher Hall is is located in the University's historic district. Being in the historic district means that no two rooms are alike so you're guaranteed to have a unique picturesque room. This hall is located near on and off campus dining locations, the Student Recreation Center, the Hub, Newell Hall, and Library West. Each floor has a shared restroom and community kitchen that offers a stove and microwave. It is recommended for students to supply their own in-room refrigerator.","72 Buckman Dr., Gainesville, FL 32612",352-392-6091,"Fully Furnished, Twin XL Bed, High-Speed WiFi, Laundry Room, Study Lounge, Game Room","Single Room, Double Room, Two Room Double, Triple Room, Two Room Triple, Newell Hall, Library West, College of Liberal Arts and Sciences, College of Journalism and Communications, College of Health and Human Performance, The Hub","Single Room, Double Room, Two Room Double, Triple Room, Two Room Triple, Newell Hall, Library West, College of Liberal Arts and Sciences, College of Journalism and Communications, College of Health and Human Performance, The Hub",https://housing.ufl.edu/fletcher-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/EZ_20120203_UF_campus_beauty_0040-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Graham Hall,Traditional Style,"Graham Hall is a traditional residence hall located in the Graham Area, offering double rooms for students. With its location on the corner of Museum Road and Gale Lemerand Drive, residents have easy access to the Reitz Union, athletic venues, and recreational fields. The hall features The Market in Graham Hall for convenient dining options, as well as a swimming pool and recreation room. Each floor has a shared restroom and community kitchen. It is recommended for students to supply their own in-room refrigerator.","21 Graham Area, Gainesville, FL 32612",352-392-6021,"Fully Furnished, Twin XL Bed, Swimming Pool, The Market in Graham Hall, Laundry Room, Study Space, Game Room, Recreation Room, Freight Elevator","Double Room, Herbert Wertheim College of Engineering, College of Journalism and Communications, Newell Hall, Flavet Field, Gator Corner Dining, Ben Hill Griffin Stadium, Stephen C. O'Connell Center","Double Room, Herbert Wertheim College of Engineering, College of Journalism and Communications, Newell Hall, Flavet Field, Gator Corner Dining, Ben Hill Griffin Stadium, Stephen C. O'Connell Center",https://housing.ufl.edu/graham-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/GRAHAM_P4118067_FB.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
Hume Hall,Suite Style Hall,"Students living in Hume Hall can expect short travel times to the Reitz Union, Flavet Field, fraternity row, athletic venues and outdoor recreation fields. Each floor has options for single or double suites, a community kitchen that offers a microwave, oven and stove. It is recommended for students to supply their own in-room refrigerator.","19 Hume Honors Residential College  Gainesville, FL 32612",352-392-6011,"Fully Furnished, Twin XL Beds, Semi-Private Bathrooms, Passenger Elevator, High-Speed Internet, Hume Classroom, Study Room, Laundry Room, Game Room","Single Room Suite, Double Room Suite, Reitz Union, Marston's Science Library, Newell Hall, Outdoor Fields, Gator Corner Dining, Graham Pool, Ben Hill Griffin Stadium, Stephen C. O'Connell Center","Single Room Suite, Double Room Suite, Reitz Union, Marston's Science Library, Newell Hall, Outdoor Fields, Gator Corner Dining, Graham Pool, Ben Hill Griffin Stadium, Stephen C. O'Connell Center",https://housing.ufl.edu/hume-hall/,https://housing.ufl.edu/wp-content/uploads/2022/02/170614_Buildings_UFHumeHall_Exterior_4534_MattPendleton-scaled.jpg,https://housing.ufl.edu/rates-payments-agreements/residence-hall-rental-rates/
