Category,Name,Description,Year_Established,Location,Additional_Notes
University,University of Florida,Major public research university in Gainesville Florida and the state's oldest and most comprehensive university,1853,Gainesville FL,Originally established as East Florida Seminary; became University of Florida in 1906
College,College of Liberal Arts and Sciences,The largest college at UF with over 30 departments and programs across humanities natural sciences and social sciences,1910,Main Campus,"Offers over 40 majors, including popular programs in biology, psychology, and political science"
College,Herbert Wertheim College of Engineering,One of the largest and most dynamic engineering programs in the nation with 11 departments,1910,Main Campus,"Named after Dr. Herbert Wertheim in 2015 following a $50 million gift, offers degrees in various engineering disciplines"
College,Warrington College of Business,AACSB-accredited business school offering bachelor's master's and doctoral degrees,1926,Main Campus,"Named after Alfred C. Warrington IV, houses renowned programs in accounting, finance, and marketing"
College,College of Medicine,The medical school of UF and part of the UF Health network,1956,J. Hillis Miller Health Science Center,"Highly competitive medical program, partnered with UF Health Shands Hospital"
College,Levin College of Law,One of Florida's premier law schools,1909,Main Campus,"Named after Fredric G. Levin in 1999, consistently ranked among top public law schools"
College,College of Journalism and Communications,Comprehensive communications college with departments in journalism telecommunications public relations and advertising,1925,Main Campus,"Houses radio station WRUF, WUFT (PBS), and the Innovation News Center"
College,College of Agricultural and Life Sciences,Offers programs in agriculture forestry natural resources and related sciences,1906,Main Campus,"One of the largest agricultural programs in the country, part of UF/IFAS"
College,College of Education,Prepares educators and educational researchers across various disciplines,1906,Norman Hall,"Offers degrees in education leadership, counseling, special education, and more"
College,College of Health and Human Performance,Focuses on health promotion exercise science sport management and recreation,1946,Florida Gym,"Programs include applied physiology, sport management, and tourism, hospitality & event management"
College,College of the Arts,Comprises the School of Art and Art History School of Music School of Theatre and Dance and the Digital Worlds Institute,1975,Various Campus Locations,"Houses the University Gallery, Constans Theatre, and the Phillips Center for the Performing Arts"
College,College of Dentistry,The only publicly funded dental school in Florida,1972,Health Science Center,"Operates dental clinics providing care to thousands of Floridians annually"
College,College of Pharmacy,One of the oldest and most distinguished pharmacy colleges in the US,1923,Health Science Center,"Top-ranked pharmacy program with campuses in Gainesville, Jacksonville, and Orlando"
College,College of Veterinary Medicine,One of the few veterinary colleges in the southeastern United States,1976,Main Campus,"Houses the UF Veterinary Hospitals, providing medical care for various animals"
College,College of Public Health and Health Professions,Offers programs in public health and various health professions,1958,Health Science Center,"Includes programs in audiology, occupational therapy, and epidemiology"
College,College of Design Construction and Planning,Focuses on disciplines related to the built environment,1925,Main Campus,"Includes architecture, interior design, landscape architecture, and urban planning"
Athletics,Florida Gators,UF's varsity athletic teams that compete in the NCAA Division I and the Southeastern Conference (SEC),1906,Various Campus Facilities,"Official colors: Orange and Blue; Mascots: Albert and Alberta Gator"
Athletics,Florida Gators Football,UF's football team with a storied history of success,1906,Ben Hill Griffin Stadium (The Swamp),"Three national championships (1996, 2006, 2008); Heisman Trophy winners include Steve Spurrier, Danny Wuerffel, and Tim Tebow"
